Object ID,Track name,Description,Difficulty,Completion time,Has alerts,URL to thumbnail,URL to webpage,Date loaded to GIS,Shape__Length
707965,Wharite Peak Track,This track to the southern tip of the Ruahine Range is recommended for experienced trampers.,Advanced,3-4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/c4fa37f8fe9b43898d9e5c5e6a7106ba.aspx,12/2/2025 8:34:11 AM,3776.30742285776
707966,Mt Fyffe Forest Walk,Listen to forest birds on this short walk through ancient forest.,Easy,1 hr 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/d125e20317744b2495afb26e1edd812b.aspx,12/2/2025 8:34:10 AM,2468.37711381116
707967,Mackintosh carpark to Mackintosh Hut,Tramp through manuka and beech forest to Mackintosh Hut,Advanced,2-3 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/c6c4b13cd7d948c58ee8b8806ceff702.aspx,12/2/2025 8:34:10 AM,3356.79633257705
707968,Mount Ida Water Race Track,This track follows a water race which is still in use. It has great views of the St Bathans basin and Falls Dam valley. The track is overgrown with sections of long grass and washouts.,Easy,4-5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/300dd49025c647778a0064bde3e22cf0.aspx,12/2/2025 8:34:10 AM,18367.4807171034
707969,Pike29 Memorial Track,This track has been dedicated to the 29 men killed in the Pike Mine disaster and is named in their honour.,Intermediate,5-6 hr uphill | 3 hr 30 min-4 hr 30 min downhill,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b14e6f2514174535bb1837786cc00c7a.aspx,https://www.doc.govt.nz/link/b42bfa18a80e43a693ddf6beee3e8bf1.aspx,12/2/2025 8:34:10 AM,10624.8713035859
707970,Gold Creek Ridge Track,This track follows a long gentle ridge to the Gold Creek Hut.,Advanced,3-4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/0fee0a2d13ff46fa8ddf1d645dbf8105.aspx,12/2/2025 8:34:10 AM,4957.80743740465
707971,Punakaiki – Pororari Loop,This popular walking track combines the southern section of the Inland Pack Track and the Paparoa Great Walk with the Pororari River Track.,Easy,3 hr ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3c637eb34ee546d599a5097addf556ff.aspx,https://www.doc.govt.nz/link/0248db4a3fd7496aa73223ccc6e2e74c.aspx,12/2/2025 8:34:09 AM,7104.14570522721
707972,Colls Dam Walk,This Nelson Creek track leads to a pleasant outlook above the historic Colls Dam.,Easiest,40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/af2c6795cb264317b73d7531ba198efe.aspx,https://www.doc.govt.nz/link/deb322022ed740e2932b740805ed23b7.aspx,12/2/2025 8:34:09 AM,938.501300166734
707973,View Hill to Mt Oxford Track,Follow the ridge through forest and tussock to get to the summit of Mt Oxford with good views of the Canterbury Plains and into Lees Valley.,Advanced,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f9fbcf8bb64046e883bda9f3530c9194.aspx,https://www.doc.govt.nz/link/968d0dd8bd4e46a9ace0eecc773e1541.aspx,12/2/2025 8:34:09 AM,5657.57836031882
707974,Golden Fleece Walk,This short walk  passes through the former Morning Star stamping battery site.,Easiest,15 m,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/9c29288c660f47b0a1bd8bb33a957ad8.aspx,12/2/2025 8:34:09 AM,292.904285430443
707975,Wharariki Beach Track (Archway Islands),"This is the most spectacular coastline in the region, with caverns, islands, sand dunes and a long stretch of beach.",Easy,20 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/81410d8b52a449f782415fe30ec2eae3.aspx,https://www.doc.govt.nz/link/a2bf2ca915fb4265bc2660e46054246d.aspx,12/2/2025 8:34:09 AM,1001.85867830311
707976,Pukatea Walk,A short walk starting from the Whites Bay Campsite.,Easy,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9f535c37a5a447d2a50d6fb9f3213a88.aspx,https://www.doc.govt.nz/link/1c6213627c1c45cd990819477f3174e6.aspx,12/2/2025 8:34:09 AM,447.375183085731
707977,Coach Stream Route,Follow the beginning of the old coach road.,Expert,"2–3 hr down, 2–4 hr up",Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/f61417449abd41618caac07271f50106.aspx,12/2/2025 8:34:09 AM,4203.49883234167
707978,Hogs Back Track (Easy Up Track and Descent Track),This walking and biking track leads from Castle Hill Village to Texas Flat / Mt Cheeseman Road.,Intermediate,2 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/925520314c0949e391993ed8f368fe1f.aspx,https://www.doc.govt.nz/link/64f786270a364c39811d448eaa089340.aspx,12/2/2025 8:34:08 AM,10446.2051980925
707979,Headlands Track,There are great views on this walk above Tōtaranui beach.,Easy,1 hr loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1fb5390ac4254abfbfeddc09b52bcac1.aspx,https://www.doc.govt.nz/link/844a544a7b2843f3a9b091f597e36ff7.aspx,12/2/2025 8:34:08 AM,3221.8398375231
707980,Old Man Hut Circuit,This circuit via Old Man Hut makes a good weekend tramp.,Advanced,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/82120a327a514f6fa4f1cb5ee050128a.jpg,https://www.doc.govt.nz/link/ae1e10dcb1cc41fa84feab0767da6abc.aspx,12/2/2025 8:34:08 AM,22818.2909412368
707981,Bridge Hill Track,A short walking track with stunning views from the top of Bridge Hill.,Intermediate,15 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/df425f832d58484ca47a251dfd5169ac.aspx,https://www.doc.govt.nz/link/60139ea4d7ba4b829616dd010fc4d171.aspx,12/2/2025 8:34:08 AM,727.427969400302
707982,Camp Saddle Track,"An access track leads to Camp Saddle. From here, experienced backcountry trampers can explore untracked terrain.","Advanced, Expert",1 - 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9772758956bb4fe5ae0ddcfae58f031a.aspx,https://www.doc.govt.nz/link/b02808b7f28648e0900f58b4f72400eb.aspx,12/2/2025 8:34:08 AM,2388.50022878935
707983,Makahu Road Circuit (via Makino Hut and Te Puia Lodge),"A tramp featuring two huts and hot springs, starting and ending at Makahu Road",Advanced,6-7 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/2a8eb14434704fe287f12c743e5f85c5.aspx,12/2/2025 8:34:08 AM,13731.9051681207
707984,Hut Creek Track,Links Broken River Ski-field Road to the Bridge Hill Road.,Intermediate,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0881abd68a6b48f9a8e190266540c54b.aspx,https://www.doc.govt.nz/link/7ab0393b8b47446d8289c919da564f7d.aspx,12/2/2025 8:34:07 AM,1089.9191996848
707985,Gibbs Hill to Whariwharangi Bay Loop Track,"Starting and finishing at Tōtaranui, this loop track will take you over Gibbs Hill and around the coast from Whariwharangi.",Advanced,5 hr 30 min loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/4acb4ee15b574925831e8e17a8fc6a89.aspx,12/2/2025 8:34:07 AM,17274.3793917003
707986,Ambury Monument Walk,"Walk to the Ambury Monument, a memorial to climber Arthur Ambury who gave his life in 1918 in a heroic attempt to save his climbing partner.",Easiest,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6ce64a7e3b96437c8389a10caec9553f.aspx,https://www.doc.govt.nz/link/41357cfd32344e099f3321a94a88c1d6.aspx,12/2/2025 8:34:07 AM,74.75611874924
707987,Parks Peak Track to Yeoman's Track,This challenging track gives access to Parks Peak Hut and various parts of the north and central Ruahine Range.,Advanced,4-5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d646cc633ccd4b17b27bfd96c334d40f.aspx,https://www.doc.govt.nz/link/84fafe0deb064d87a0370ce277978698.aspx,12/2/2025 8:34:07 AM,7277.72241265516
707988,Flora Hut Walk,Walk through beech forest to Flora Hut - a great day walk for families with kids.,Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5bb52ac71500481db7df0ab3960d868c.aspx,https://www.doc.govt.nz/link/90ad639097444a24951f4a08f40f13c0.aspx,12/2/2025 8:34:07 AM,1932.90585330498
707989,Cameron Carpark to Mt Kuripapango Track,A day walk to Mt Kuripapango.,Advanced,3-4 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e6892dce12c544f29097960ddbc9330c.aspx,https://www.doc.govt.nz/link/19186a25f30c4759a12d502273d1bd44.aspx,12/2/2025 8:34:07 AM,3555.08269462885
707990,Mount Bealey Track,"This steep, rugged track leads to the bushline on Mount Bealey. It is suitable for experienced trampers only.",Advanced,2-4 hours return to the bushline,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1cda833bad704bc4b3910d941c0a284d.aspx,https://www.doc.govt.nz/link/29dad15403ec44f495b047fd69275177.aspx,12/2/2025 8:34:07 AM,1435.24922524901
707991,Mt Arthur Hut Walk,Walk through beech forest to Mt Arthur Hut - a great day walk for families with kids.,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4b83b5d8d5de47c8b991743aa82f3cfe.jpg,https://www.doc.govt.nz/link/f1d1c05db3414bada757daf49db98440.aspx,12/2/2025 8:34:06 AM,3391.78677131444
707992,Mistletoe Track,This track climbs from the Craigieburn picnic area to Lyndon Saddle,Intermediate,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/14403d71bada45b3b3c65c3fa8010527.aspx,https://www.doc.govt.nz/link/3c83ff8f92ca41b99b5e01398f6eca03.aspx,12/2/2025 8:34:06 AM,2107.12576017262
707993,Lakes Carpark Loop – Rogue Ridge/Cooks Horn,A return track with river crossings through manuka and beech forest and open tops offering expansive views.,Advanced,3-4 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/035c4b8915e440e6a380334b2364d110.aspx,https://www.doc.govt.nz/link/dd2308b5f5fa4efabecb8a1117ef3889.aspx,12/2/2025 8:34:06 AM,8961.91614976381
707994,Lake Peel Track,Walk to Salisbury Lodge via the beautiful Lake Peel. There are several huts along the way and Lake Peel is a good day walk destination.,Advanced,5 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/dd7e4abf39d446d2bc09c15bcbef39e9.jpg,https://www.doc.govt.nz/link/67069d3b31294f77b17b320c0dad184f.aspx,12/2/2025 8:34:05 AM,10450.8524130287
707995,Craigieburn Sidle 73 Track,This track connects Craigieburn picnic area with the Craigieburn ski field access road.,Intermediate,20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9fa02ce92b424c349d41a867db4a56ea.aspx,https://www.doc.govt.nz/link/d680d6a424b54c719935514216630d50.aspx,12/2/2025 8:34:05 AM,1012.7790852557
707996,High-Level Pack Track,"This steep track is best suited to more experience trampers. It can be combined with other tracks to make a loop walk, or used to access longer tramps in the upper Waiorongomai Valley track network.",Advanced,2 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4ff2319e26424a4b97afacad33290e31.aspx,https://www.doc.govt.nz/link/e056f7ff1c394a43b2a9e419f6fe419a.aspx,12/2/2025 8:34:13 AM,3184.86909264103
707997,Larrys Creek Track,Follow Awarau or Larry River to get to a historic gold mine.,Easy,45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/adfd772df07b409994ac0549407abca7.aspx,12/2/2025 8:34:11 AM,2826.64190478666
707998,Fossil Point Track,"Walk across the base of Farewell Spit to Fossil Point, where you may see seals and fossils.",Easy,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f4bd1692aea34874b18b62f2c26745cd.aspx,https://www.doc.govt.nz/link/0a90a185313741abb89e163a7e9e7cb8.aspx,12/2/2025 8:34:11 AM,3957.91356362825
707999,Te Kiekie Route,This route links the summit of Mount Somers with the Mount Somers Track on the north side of the mountain.,[],2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/728d56d061344d708e00f3e66ff8321b.aspx,12/2/2025 8:34:10 AM,2412.59008441384
708000,Thomas River Track,From the Water Intake Road to Castle Hill Village,Intermediate,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5131571fae3340b4806b73c61ceef923.aspx,https://www.doc.govt.nz/link/b913c9822fe048e28e17a10fdd2b0e2c.aspx,12/2/2025 8:34:10 AM,1364.36200681567
708001,Wilkies Pools Loop Track,"Walk through kamahi (goblin) forest to a series of pools, scoured from 20,000 year old lava.",Easy,1 hr 20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5dc5605e79d2401c97d1c130d456a0f7.aspx,https://www.doc.govt.nz/link/e0ff49ce9dd74828b549e1e112740284.aspx,12/2/2025 8:34:06 AM,1954.48523898773
708002,Burn Hut Track,"Tramp from the Mangahao reservoirs to Burn Hut, with views across the Horowhenua and northern Wairarapa",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b353b74869144c669ccf84712e6dba4f.aspx,https://www.doc.govt.nz/link/25f6ac0bde9d4700b7cc2a14a61e0b4d.aspx,12/2/2025 8:34:06 AM,10313.871341873
708003,Lake Chalice Hut tracks,"Explore the area around Lake Chalice, the only lake in Mount Richmond Forest Park - the short, easy walk to the hut is ideal for an overnight tramp with children.",Advanced,1 hr to hut | 2 hr 30 min loop from hut,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0a15e157f7b44b1ca057e79333184b32.jpg,https://www.doc.govt.nz/link/e255b53e0d6c4959af1f466a6f691940.aspx,12/2/2025 8:34:05 AM,8347.47710564124
708004,Maitai Bay Headland Track,"Pass through farmland and manuka scrubland to Maitai Bay Headlands, where you can enjoy scenic views of Waikato Bay and Maitai Bay.",Advanced,1.5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e575394ba71f451bbcd474ad16359243.jpg,https://www.doc.govt.nz/link/d043c1e6682c4b79828c37430bf85051.aspx,12/2/2025 8:34:05 AM,1653.258902501
708005,Mt Ngongotaha Jubilee Track,The only walking track up to the summit of Mt Ngongotaha. Passes through native forest with views of one of the largest rata trees in the Bay of Plenty.,Easy,1 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7846e76edd234465897df8eea73a1546.aspx,https://www.doc.govt.nz/link/356ed78b672341789e7208a7fa1468a4.aspx,12/2/2025 8:34:05 AM,1743.50981841997
708006,Ōkareka Mistletoe Walk,The short walk for the whole family provides views of the threatened native mistletoe.,Easiest,10 mins,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/243351bb29904bb080ad3224ff3c4807.jpg,https://www.doc.govt.nz/link/e14c3bafcf9f48f0aea4e4f0bfe5987e.aspx,12/2/2025 8:34:05 AM,137.869321905301
708007,Tiritiri Matangi Island walks,"See a variety of native birds on the walks on this pest-free island, as well as views of the surrounding islands.","Easiest, Easy",20 min - 4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/580c801d658941eaac0d2779093e4359.jpg,https://www.doc.govt.nz/link/fe48f9931d9f4415ab05b2e578e2a1df.aspx,12/2/2025 8:34:05 AM,12128.0524754181
708008,Wether Range tracks,The Wether Range tracks are found south of Omarama. ,"Advanced, Expert",1.5-2 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/41c8c00f414b40d5b7c0f7233d0ddf94.jpg,https://www.doc.govt.nz/link/fa9822ab1d2949f8aa5fcd19b248fac6.aspx,12/2/2025 8:34:04 AM,10389.300377283
708009,Lake Alta Track,Climb to the picturesque glacial Lake Alta. In winter the route to the lake is through an operational ski field. It is not marked and covered by deep snow.,Advanced,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/66e540426d014769a6cb70adb0c72c16.aspx,https://www.doc.govt.nz/link/6f27e50cfdf2427eab5b77d6c3961783.aspx,12/2/2025 8:34:04 AM,1195.0073032434
708010,Grandview Ridge tracks,"Highly visible over a large area of the surrounding landscape, the Grandview Ridge provides a spectacular vantage point for views over the upper Clutha Valley and peaks beyond.",Advanced,Various from 3-11 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/703ed89a942c478fb0440bbe332a71c4.jpg,https://www.doc.govt.nz/link/6246cb9a55214d6c8100106c410b2674.aspx,12/2/2025 8:34:04 AM,35594.5197069431
708011,Dry Creek Track,"Dry Creek Track provides great backcountry opportunities for short walks, tramping and mountain biking with access to the Dry Creek and Neinei i Kura Conservation areas.",Advanced,4 - 6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3e063d4cc217402e8a583ed8423eedd3.jpg,https://www.doc.govt.nz/link/23a42e2e167a445d916884d60332566e.aspx,12/2/2025 8:34:04 AM,8408.16153125689
708012,Goat Island Walkway  ,This return walk traverses the coast part way to Cape Rodney. overlooking New Zealand's oldest and most popular marine reserve.  ,Easy,45 min to 1 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/67fe3e7380ec4a9da092b31189d2bea5.jpg,https://www.doc.govt.nz/link/bc9dfa83b046403fa8337a6c6d5a114a.aspx,12/2/2025 8:34:04 AM,1408.04112606075
708013,Tikitapu Nature Walk,This short walk through beautiful forest has information panels about plant and birds along the way - it's a great option for children. ,Easiest,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a6286798205948d187e639d0e3d21098.jpg,https://www.doc.govt.nz/link/a5d16b3299d94b3d8f110e834181f25e.aspx,12/2/2025 8:34:04 AM,740.686475797267
708014,Pavilion Peak Track,This track traverses a range in the Lindis Conservation Area. ,Advanced,8 - 10 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f4a70ddca9ee422ebf5d2e68b0d98a10.aspx,https://www.doc.govt.nz/link/0a80a78ae1fc46248a446ab70c4b98ac.aspx,12/2/2025 8:34:03 AM,32013.6640617333
708015,Mt Alford Track,"Passing through Alford Scenic Reserve, this track takes you to the summit of Mt Alford. From the summit there are wide views across the Canterbury Plains and the inland mountains.",Advanced,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0ae67807bb0041bd915446881b547962.jpg,https://www.doc.govt.nz/link/eedfff4a52c644969ecf9b26588b5019.aspx,12/2/2025 8:34:03 AM,4267.51122279515
708016,Roys Peak Track,"Take in breathtaking views over Lake Wānaka, Mount Aspiring/Tititea and surrounding peaks after a steep climb through alpine meadows and tussock grasslands to the summit. This is a popular track and one of our best day hikes.",Easy,5-6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/07e89eec10bb41ccb52bd0efe8e86659.aspx,https://www.doc.govt.nz/link/c073dc44e9aa4c369b8a75cb8365f047.aspx,12/2/2025 8:34:03 AM,6928.41597796904
708017,Orari Gorge Track,"This circular walk passes through regenerating forest with some large tōtara, kahikatea and mataī.",Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/36bb2f40bbfd4966b193e4fed79c14d3.aspx,https://www.doc.govt.nz/link/7871ce64a0ea4a34acaf6a4a702cfbb3.aspx,12/2/2025 8:34:03 AM,2899.14150773179
708018,Melina Ridge Track ,This is a classic mountain bike ride located in lower Ahuriri valley. ,Advanced,8 - 10 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5622a488e0964af286667bac9def27f7.jpg,https://www.doc.govt.nz/link/f1b498dcd0ae4d34a0aad5a49c0259f3.aspx,12/2/2025 8:34:03 AM,35792.7179260801
708019,Rangitoto Island longer walks,"Explore Rangitoto Island Scenic Reserve on these longer walks. Walk around the coast of Rangitoto, to adjoining Motutapu Island, or continue on from the summit to Islington Bay. ",Easy,1 hr to 3 hr 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/dcd4d47f32444371968b973064832e00.jpg,https://www.doc.govt.nz/link/7f9263335da245ccac93f9ef3c8764bc.aspx,12/2/2025 8:34:03 AM,7785.9888512305
