Object ID,Track name,Description,Difficulty,Completion time,Has alerts,URL to thumbnail,URL to webpage,Date loaded to GIS,x,y
703995,Avoca Valley Track,This track leads from the Haper Valley up Avoca Valley to Avoca Hut.,Expert,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/73990b48d48a47bdb09535de8f42cc90.aspx,https://www.doc.govt.nz/link/a6c84e72c0594414b20deacce9a83695.aspx,12/2/2025 8:34:12 AM,1478555.61119984,5222050.49630108
703996,Dons Stream Walk,A walk to a pleasant picnic spot beside a stream,Advanced,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/56722da5193c4e24b8baf69bffcba34d.aspx,12/2/2025 8:34:12 AM,1893690.25301635,5645704.39582992
703997,Lake Rototuna and Lake Rotoroa (Kaweka Lakes) Track,"A short walk to Lake Rototuna and Lake Rotoroa, a nice picnic spot",Easy,30 mins from Lakes carpark to Lake Rototuna and La,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3578db763ed34a0bbca4d3cd2e5b9343.aspx,https://www.doc.govt.nz/link/4b89751c23b04ed88c307771054e2a39.aspx,12/2/2025 8:34:12 AM,1889627.62131517,5637833.61272705
703998,Pylon Peak Summit Loop,"A strenuous but rewarding hike to the summit of Pylon Peak, offering great views. It can be combined with other tracks for a full day tramp.","Advanced, Expert",6-7 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d1a848434abe46ab98ea7f0e239a3cb6.aspx,https://www.doc.govt.nz/link/dfc7397282e8405583dc7f99892521c3.aspx,12/2/2025 8:34:12 AM,1844642.05920571,5840212.50210623
703999,Trig M Route,Follow an old 4WD track to a high point above Lake Lyndon.,Expert,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/fe68d4df9cd1458299bad7430e0a51ef.aspx,https://www.doc.govt.nz/link/98274b84f3034d18a01c5651035ff494.aspx,12/2/2025 8:34:12 AM,1496470.79039993,5204988.29090106
704000,Larrys Creek Track,Follow Awarau or Larry River to get to a historic gold mine.,Easy,45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/adfd772df07b409994ac0549407abca7.aspx,12/2/2025 8:34:11 AM,1513623.48409997,5345998.56780099
704001,Mt Richmond routes,These tracks provide access to Mt Richmond (1760 m) and can be combined for weekend round trip.,Expert,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/377c461fd7f24fdf8d64dd6acfbcaa78.aspx,https://www.doc.govt.nz/link/8bf3a15e3ee546259bf15dca480b592a.aspx,12/2/2025 8:34:11 AM,1635296.8443,5407794.08910096
704002,Connett Loop Track,"A pleasant walk through 'goblin' forest, laden with moss and lichens.",Easiest,40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/c6e4e39377ae4fb396aa6b82c69c4573.aspx,12/2/2025 8:34:11 AM,1694723.38440004,5652773.70850077
704003,Trig Lookout Track / Mount Chisolm Track,These tracks offer spectacular views of the surrounding valleys.,Intermediate,Trig Lookout - 50 min / Mount Chisolm - 2hr 40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/6e5ce690b2d84a34b7295a4dc0efa96a.aspx,12/2/2025 8:34:11 AM,1617125.822,5340369.91270099
704004,Wharite Peak Track,This track to the southern tip of the Ruahine Range is recommended for experienced trampers.,Advanced,3-4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/c4fa37f8fe9b43898d9e5c5e6a7106ba.aspx,12/2/2025 8:34:11 AM,1844164.12750609,5541012.05040821
704005,Fossil Point Track,"Walk across the base of Farewell Spit to Fossil Point, where you may see seals and fossils.",Easy,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f4bd1692aea34874b18b62f2c26745cd.aspx,https://www.doc.govt.nz/link/0a90a185313741abb89e163a7e9e7cb8.aspx,12/2/2025 8:34:11 AM,1578099.9037,5514776.39570088
704006,Mt Fyffe Forest Walk,Listen to forest birds on this short walk through ancient forest.,Easy,1 hr 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/d125e20317744b2495afb26e1edd812b.aspx,12/2/2025 8:34:10 AM,1652383.20550001,5313350.733001
704007,Te Kiekie Route,This route links the summit of Mount Somers with the Mount Somers Track on the north side of the mountain.,[],2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/728d56d061344d708e00f3e66ff8321b.aspx,12/2/2025 8:34:10 AM,1468412.80309976,5169444.14960113
704008,Mackintosh carpark to Mackintosh Hut,Tramp through manuka and beech forest to Mackintosh Hut,Advanced,2-3 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/c6c4b13cd7d948c58ee8b8806ceff702.aspx,12/2/2025 8:34:10 AM,1892188.68311591,5639687.82222892
704009,Thomas River Track,From the Water Intake Road to Castle Hill Village,Intermediate,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5131571fae3340b4806b73c61ceef923.aspx,https://www.doc.govt.nz/link/b913c9822fe048e28e17a10fdd2b0e2c.aspx,12/2/2025 8:34:10 AM,1495015.11919992,5215436.57440106
704010,Mount Ida Water Race Track,This track follows a water race which is still in use. It has great views of the St Bathans basin and Falls Dam valley. The track is overgrown with sections of long grass and washouts.,Easy,4-5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/300dd49025c647778a0064bde3e22cf0.aspx,12/2/2025 8:34:10 AM,1359291.5598943,5031706.05531278
704011,Pike29 Memorial Track,This track has been dedicated to the 29 men killed in the Pike Mine disaster and is named in their honour.,Intermediate,5-6 hr uphill | 3 hr 30 min-4 hr 30 min downhill,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b14e6f2514174535bb1837786cc00c7a.aspx,https://www.doc.govt.nz/link/b42bfa18a80e43a693ddf6beee3e8bf1.aspx,12/2/2025 8:34:10 AM,1474286.70569981,5324552.29740104
704012,Gold Creek Ridge Track,This track follows a long gentle ridge to the Gold Creek Hut.,Advanced,3-4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/0fee0a2d13ff46fa8ddf1d645dbf8105.aspx,12/2/2025 8:34:10 AM,1875291.90811157,5594327.27581906
704013,Punakaiki – Pororari Loop,This popular walking track combines the southern section of the Inland Pack Track and the Paparoa Great Walk with the Pororari River Track.,Easy,3 hr ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3c637eb34ee546d599a5097addf556ff.aspx,https://www.doc.govt.nz/link/0248db4a3fd7496aa73223ccc6e2e74c.aspx,12/2/2025 8:34:09 AM,1464258.82999972,5336082.00350107
704014,Colls Dam Walk,This Nelson Creek track leads to a pleasant outlook above the historic Colls Dam.,Easiest,40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/af2c6795cb264317b73d7531ba198efe.aspx,https://www.doc.govt.nz/link/deb322022ed740e2932b740805ed23b7.aspx,12/2/2025 8:34:09 AM,1478580.99679984,5303953.81050104
704015,View Hill to Mt Oxford Track,Follow the ridge through forest and tussock to get to the summit of Mt Oxford with good views of the Canterbury Plains and into Lees Valley.,Advanced,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f9fbcf8bb64046e883bda9f3530c9194.aspx,https://www.doc.govt.nz/link/968d0dd8bd4e46a9ace0eecc773e1541.aspx,12/2/2025 8:34:09 AM,1523012.52589998,5213703.19470104
704016,Golden Fleece Walk,This short walk  passes through the former Morning Star stamping battery site.,Easiest,15 m,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/9c29288c660f47b0a1bd8bb33a957ad8.aspx,12/2/2025 8:34:09 AM,1507832.77949996,5334921.350501
704017,Wharariki Beach Track (Archway Islands),"This is the most spectacular coastline in the region, with caverns, islands, sand dunes and a long stretch of beach.",Easy,20 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/81410d8b52a449f782415fe30ec2eae3.aspx,https://www.doc.govt.nz/link/a2bf2ca915fb4265bc2660e46054246d.aspx,12/2/2025 8:34:09 AM,1572961.5146,5516096.08180088
704018,Pukatea Walk,A short walk starting from the Whites Bay Campsite.,Easy,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9f535c37a5a447d2a50d6fb9f3213a88.aspx,https://www.doc.govt.nz/link/1c6213627c1c45cd990819477f3174e6.aspx,12/2/2025 8:34:09 AM,1688432.68260003,5418230.28050095
704019,Coach Stream Route,Follow the beginning of the old coach road.,Expert,"2–3 hr down, 2–4 hr up",Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/f61417449abd41618caac07271f50106.aspx,12/2/2025 8:34:09 AM,1497661.89409993,5204296.16810106
704020,Hogs Back Track (Easy Up Track and Descent Track),This walking and biking track leads from Castle Hill Village to Texas Flat / Mt Cheeseman Road.,Intermediate,2 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/925520314c0949e391993ed8f368fe1f.aspx,https://www.doc.govt.nz/link/64f786270a364c39811d448eaa089340.aspx,12/2/2025 8:34:08 AM,1492901.55069992,5216752.88250106
704021,Headlands Track,There are great views on this walk above Tōtaranui beach.,Easy,1 hr loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1fb5390ac4254abfbfeddc09b52bcac1.aspx,https://www.doc.govt.nz/link/844a544a7b2843f3a9b091f597e36ff7.aspx,12/2/2025 8:34:08 AM,1600389.8434,5481844.50360091
704022,Old Man Hut Circuit,This circuit via Old Man Hut makes a good weekend tramp.,Advanced,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/82120a327a514f6fa4f1cb5ee050128a.jpg,https://www.doc.govt.nz/link/ae1e10dcb1cc41fa84feab0767da6abc.aspx,12/2/2025 8:34:08 AM,1624521.8207,5400765.73720096
704023,Bridge Hill Track,A short walking track with stunning views from the top of Bridge Hill.,Intermediate,15 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/df425f832d58484ca47a251dfd5169ac.aspx,https://www.doc.govt.nz/link/60139ea4d7ba4b829616dd010fc4d171.aspx,12/2/2025 8:34:08 AM,1495568.30029993,5221176.19350106
704024,Camp Saddle Track,"An access track leads to Camp Saddle. From here, experienced backcountry trampers can explore untracked terrain.","Advanced, Expert",1 - 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9772758956bb4fe5ae0ddcfae58f031a.aspx,https://www.doc.govt.nz/link/b02808b7f28648e0900f58b4f72400eb.aspx,12/2/2025 8:34:08 AM,1494290.27179992,5223643.44280105
704025,Makahu Road Circuit (via Makino Hut and Te Puia Lodge),"A tramp featuring two huts and hot springs, starting and ending at Makahu Road",Advanced,6-7 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/2a8eb14434704fe287f12c743e5f85c5.aspx,12/2/2025 8:34:08 AM,1896282.69841712,5657114.9869317
704026,Hut Creek Track,Links Broken River Ski-field Road to the Bridge Hill Road.,Intermediate,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0881abd68a6b48f9a8e190266540c54b.aspx,https://www.doc.govt.nz/link/7ab0393b8b47446d8289c919da564f7d.aspx,12/2/2025 8:34:07 AM,1495599.95339993,5221510.90900105
704027,Gibbs Hill to Whariwharangi Bay Loop Track,"Starting and finishing at Tōtaranui, this loop track will take you over Gibbs Hill and around the coast from Whariwharangi.",Advanced,5 hr 30 min loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/4acb4ee15b574925831e8e17a8fc6a89.aspx,12/2/2025 8:34:07 AM,1599781.0924,5483765.8304009
704028,Ambury Monument Walk,"Walk to the Ambury Monument, a memorial to climber Arthur Ambury who gave his life in 1918 in a heroic attempt to save his climbing partner.",Easiest,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6ce64a7e3b96437c8389a10caec9553f.aspx,https://www.doc.govt.nz/link/41357cfd32344e099f3321a94a88c1d6.aspx,12/2/2025 8:34:07 AM,1694470.04310004,5652658.27540077
704029,Parks Peak Track to Yeoman's Track,This challenging track gives access to Parks Peak Hut and various parts of the north and central Ruahine Range.,Advanced,4-5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d646cc633ccd4b17b27bfd96c334d40f.aspx,https://www.doc.govt.nz/link/84fafe0deb064d87a0370ce277978698.aspx,12/2/2025 8:34:07 AM,1877621.06311211,5600492.28972021
704030,Flora Hut Walk,Walk through beech forest to Flora Hut - a great day walk for families with kids.,Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5bb52ac71500481db7df0ab3960d868c.aspx,https://www.doc.govt.nz/link/90ad639097444a24951f4a08f40f13c0.aspx,12/2/2025 8:34:07 AM,1577734.3029,5440452.74370093
704031,Cameron Carpark to Mt Kuripapango Track,A day walk to Mt Kuripapango.,Advanced,3-4 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e6892dce12c544f29097960ddbc9330c.aspx,https://www.doc.govt.nz/link/19186a25f30c4759a12d502273d1bd44.aspx,12/2/2025 8:34:07 AM,1887651.82371461,5636573.18782568
704032,Mount Bealey Track,"This steep, rugged track leads to the bushline on Mount Bealey. It is suitable for experienced trampers only.",Advanced,2-4 hours return to the bushline,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1cda833bad704bc4b3910d941c0a284d.aspx,https://www.doc.govt.nz/link/29dad15403ec44f495b047fd69275177.aspx,12/2/2025 8:34:07 AM,1482579.57039987,5243478.60920106
704033,Wilkies Pools Loop Track,"Walk through kamahi (goblin) forest to a series of pools, scoured from 20,000 year old lava.",Easy,1 hr 20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5dc5605e79d2401c97d1c130d456a0f7.aspx,https://www.doc.govt.nz/link/e0ff49ce9dd74828b549e1e112740284.aspx,12/2/2025 8:34:06 AM,1694580.03300004,5647351.21170077
704034,Mt Arthur Hut Walk,Walk through beech forest to Mt Arthur Hut - a great day walk for families with kids.,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4b83b5d8d5de47c8b991743aa82f3cfe.jpg,https://www.doc.govt.nz/link/f1d1c05db3414bada757daf49db98440.aspx,12/2/2025 8:34:06 AM,1577222.6369,5439176.74900093
704035,Burn Hut Track,"Tramp from the Mangahao reservoirs to Burn Hut, with views across the Horowhenua and northern Wairarapa",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b353b74869144c669ccf84712e6dba4f.aspx,https://www.doc.govt.nz/link/25f6ac0bde9d4700b7cc2a14a61e0b4d.aspx,12/2/2025 8:34:06 AM,1811846.02310285,5499401.97000334
704036,Mistletoe Track,This track climbs from the Craigieburn picnic area to Lyndon Saddle,Intermediate,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/14403d71bada45b3b3c65c3fa8010527.aspx,https://www.doc.govt.nz/link/3c83ff8f92ca41b99b5e01398f6eca03.aspx,12/2/2025 8:34:06 AM,1496349.95999993,5222117.71390105
704037,Lakes Carpark Loop – Rogue Ridge/Cooks Horn,A return track with river crossings through manuka and beech forest and open tops offering expansive views.,Advanced,3-4 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/035c4b8915e440e6a380334b2364d110.aspx,https://www.doc.govt.nz/link/dd2308b5f5fa4efabecb8a1117ef3889.aspx,12/2/2025 8:34:06 AM,1889478.77601512,5640242.39002688
704038,Lake Peel Track,Walk to Salisbury Lodge via the beautiful Lake Peel. There are several huts along the way and Lake Peel is a good day walk destination.,Advanced,5 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/dd7e4abf39d446d2bc09c15bcbef39e9.jpg,https://www.doc.govt.nz/link/67069d3b31294f77b17b320c0dad184f.aspx,12/2/2025 8:34:05 AM,1567690.1609,5443664.18890093
704039,Craigieburn Sidle 73 Track,This track connects Craigieburn picnic area with the Craigieburn ski field access road.,Intermediate,20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9fa02ce92b424c349d41a867db4a56ea.aspx,https://www.doc.govt.nz/link/d680d6a424b54c719935514216630d50.aspx,12/2/2025 8:34:05 AM,1497174.90279993,5222014.12900105
704040,Lake Chalice Hut tracks,"Explore the area around Lake Chalice, the only lake in Mount Richmond Forest Park - the short, easy walk to the hut is ideal for an overnight tramp with children.",Advanced,1 hr to hut | 2 hr 30 min loop from hut,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0a15e157f7b44b1ca057e79333184b32.jpg,https://www.doc.govt.nz/link/e255b53e0d6c4959af1f466a6f691940.aspx,12/2/2025 8:34:05 AM,1626730.3273,5398158.07380096
704041,Maitai Bay Headland Track,"Pass through farmland and manuka scrubland to Maitai Bay Headlands, where you can enjoy scenic views of Waikato Bay and Maitai Bay.",Advanced,1.5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e575394ba71f451bbcd474ad16359243.jpg,https://www.doc.govt.nz/link/d043c1e6682c4b79828c37430bf85051.aspx,12/2/2025 8:34:05 AM,1637194.4122,6146649.28180024
704042,Mt Ngongotaha Jubilee Track,The only walking track up to the summit of Mt Ngongotaha. Passes through native forest with views of one of the largest rata trees in the Bay of Plenty.,Easy,1 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7846e76edd234465897df8eea73a1546.aspx,https://www.doc.govt.nz/link/356ed78b672341789e7208a7fa1468a4.aspx,12/2/2025 8:34:05 AM,1879585.50851216,5775966.63101805
704043,Ōkareka Mistletoe Walk,The short walk for the whole family provides views of the threatened native mistletoe.,Easiest,10 mins,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/243351bb29904bb080ad3224ff3c4807.jpg,https://www.doc.govt.nz/link/e14c3bafcf9f48f0aea4e4f0bfe5987e.aspx,12/2/2025 8:34:05 AM,1893153.10701582,5769422.99032624
704044,Tiritiri Matangi Island walks,"See a variety of native birds on the walks on this pest-free island, as well as views of the surrounding islands.","Easiest, Easy",20 min - 4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/580c801d658941eaac0d2779093e4359.jpg,https://www.doc.govt.nz/link/fe48f9931d9f4415ab05b2e578e2a1df.aspx,12/2/2025 8:34:05 AM,1768836.26160073,5948001.26690073
704045,Wether Range tracks,The Wether Range tracks are found south of Omarama. ,"Advanced, Expert",1.5-2 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/41c8c00f414b40d5b7c0f7233d0ddf94.jpg,https://www.doc.govt.nz/link/fa9822ab1d2949f8aa5fcd19b248fac6.aspx,12/2/2025 8:34:04 AM,1343255.14169205,5064457.12051993
704046,Lake Alta Track,Climb to the picturesque glacial Lake Alta. In winter the route to the lake is through an operational ski field. It is not marked and covered by deep snow.,Advanced,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/66e540426d014769a6cb70adb0c72c16.aspx,https://www.doc.govt.nz/link/6f27e50cfdf2427eab5b77d6c3961783.aspx,12/2/2025 8:34:04 AM,1270650.64227506,5001880.99515203
704047,Grandview Ridge tracks,"Highly visible over a large area of the surrounding landscape, the Grandview Ridge provides a spectacular vantage point for views over the upper Clutha Valley and peaks beyond.",Advanced,Various from 3-11 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/703ed89a942c478fb0440bbe332a71c4.jpg,https://www.doc.govt.nz/link/6246cb9a55214d6c8100106c410b2674.aspx,12/2/2025 8:34:04 AM,1311245.94398582,5047651.82915058
704048,Dry Creek Track,"Dry Creek Track provides great backcountry opportunities for short walks, tramping and mountain biking with access to the Dry Creek and Neinei i Kura Conservation areas.",Advanced,4 - 6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3e063d4cc217402e8a583ed8423eedd3.jpg,https://www.doc.govt.nz/link/23a42e2e167a445d916884d60332566e.aspx,12/2/2025 8:34:04 AM,1319803.19758787,5021204.39344128
704049,Goat Island Walkway  ,This return walk traverses the coast part way to Cape Rodney. overlooking New Zealand's oldest and most popular marine reserve.  ,Easy,45 min to 1 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/67fe3e7380ec4a9da092b31189d2bea5.jpg,https://www.doc.govt.nz/link/bc9dfa83b046403fa8337a6c6d5a114a.aspx,12/2/2025 8:34:04 AM,1761983.02450058,5984451.31630062
704050,Tikitapu Nature Walk,This short walk through beautiful forest has information panels about plant and birds along the way - it's a great option for children. ,Easiest,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a6286798205948d187e639d0e3d21098.jpg,https://www.doc.govt.nz/link/a5d16b3299d94b3d8f110e834181f25e.aspx,12/2/2025 8:34:04 AM,1891686.25401539,5768642.10792525
704051,Pavilion Peak Track,This track traverses a range in the Lindis Conservation Area. ,Advanced,8 - 10 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f4a70ddca9ee422ebf5d2e68b0d98a10.aspx,https://www.doc.govt.nz/link/0a80a78ae1fc46248a446ab70c4b98ac.aspx,12/2/2025 8:34:03 AM,1332265.61049016,5071369.98662726
704052,Mt Alford Track,"Passing through Alford Scenic Reserve, this track takes you to the summit of Mt Alford. From the summit there are wide views across the Canterbury Plains and the inland mountains.",Advanced,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0ae67807bb0041bd915446881b547962.jpg,https://www.doc.govt.nz/link/eedfff4a52c644969ecf9b26588b5019.aspx,12/2/2025 8:34:03 AM,1477902.41799983,5172792.4731011
704053,Orari Gorge Track,"This circular walk passes through regenerating forest with some large tōtara, kahikatea and mataī.",Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/36bb2f40bbfd4966b193e4fed79c14d3.aspx,https://www.doc.govt.nz/link/7871ce64a0ea4a34acaf6a4a702cfbb3.aspx,12/2/2025 8:34:03 AM,1454218.77649958,5128359.79340125
